subject_id,chapter_id,unit_id,subtopic_id,difficulty,question_type,question_text,option_a,option_b,option_c,option_d,answer,explanation,more_explanation,correct_option,difficulty_score,answer_type,concept_tested,question_archetype,exam_level,source_type,tags,estimated_time_sec,marks,negative_marks,bloom_level,chapter_weightage,exam_relevance,pyq_inspired,pyq_exam,pyq_year,pyq_topic,status,version,is_verified,reviewed_by,review_date,image_required,has_diagram,latex_required,language,question_image_url,solution_image_url,question_code,subject_name,unit_name,chapter_name,subtopic_name,set_no
,,,,Foundation,MCQ,"A car moves with constant velocity along a straight, level road. Which one of the following statements is correct about the net external force on the car and its acceleration?",Net external force on the car is zero and its acceleration is zero.,Net external force on the car is zero but its acceleration is non-zero.,Net external force on the car is non-zero but its acceleration is zero.,Net external force on the car equals its weight and its acceleration is zero.,"By Newton's first law, constant velocity implies zero acceleration; therefore the net external force must be zero.","Newton's first law (law of inertia) states that if the velocity of an object is constant (including magnitude and direction), the acceleration is zero. From Newton's second law, net external force F_net = m a. If a = 0, then F_net = 0. Thus option A is correct. Option B is incorrect because zero net force cannot produce non-zero acceleration. Option C is inconsistent with F_net = m a (non-zero net force would produce non-zero acceleration for non-zero mass). Option D is incorrect because the weight acts vertically downward and is balanced by the normal reaction on a level road; the net external force is not equal to the weight and, in the given situation, is zero.","Constant velocity means both speed and direction are constant. Even if forces such as engine thrust and air resistance act, for constant velocity they must exactly cancel each other so that the vector sum (net force) is zero. Weight and normal reaction are vertical forces that cancel on a horizontal road and do not affect horizontal acceleration when balanced. Therefore a car cruising at steady speed has zero net force and zero acceleration.",A,1,Single Correct,Newton's First Law (Inertia) and relation between net force and acceleration (F = ma),Direct concept check,JEE Main + Advanced,AI Generated,"Newton's laws,force,acceleration,inertia,kinematics",45,4,-1,Understanding,Low,High,False,,,,Draft,1.0,False,,,False,False,False,English,,,P1_CH1_ST4_S1_Q701,Physics,P1,CH1,ST4,S1
,,,,Foundation,MCQ,Which of the following physical quantities is a vector quantity?,Speed,Mass,Acceleration,Temperature,"Acceleration. Acceleration has both magnitude and direction, whereas speed, mass and temperature are scalars.","A vector quantity is described by both magnitude and direction. Acceleration is the rate of change of velocity and therefore includes direction (SI unit: m/s^2). Speed is the magnitude of velocity and has no direction, so it is a scalar. Mass is an intrinsic scalar property of matter (kg). Temperature is a scalar describing thermal state. Thus only acceleration among the options is a vector.","Example: If a car slows down while moving east, its acceleration is directed west (opposite to velocity) — sign and direction matter. Scalars like mass or temperature do not change sign with direction and only require magnitude.",C,1,Single Correct,Distinguishing vector and scalar physical quantities,Direct concept identification,JEE Main + Advanced,AI Generated,"vectors,scalars,kinematics,fundamentals",60,4,-1,Understanding,Fundamental,Basic foundational concept required for mechanics,False,,,,Draft,1.0,False,,,False,False,False,English,,,P1_CH1_ST4_S1_Q702,Physics,P1,CH1,ST4,S1
,,,,Foundation,MCQ,Which of the following physical quantities is a scalar?,Kinetic energy,Linear momentum,Force,Displacement,Kinetic energy is a scalar quantity (has magnitude only and no direction); the others are vectors.,"A scalar quantity is fully described by magnitude alone and does not have a direction. Kinetic energy, given by (1/2)mv^2, depends on the speed squared and has no associated direction, so it is scalar. Linear momentum p = mv has the direction of the velocity and is therefore a vector. Force has both magnitude and direction (it can change the motion direction) and is a vector. Displacement specifies both magnitude and direction from one point to another and is a vector. Thus only kinetic energy among the options is scalar.","Note: Speed is scalar while velocity is vector. Kinetic energy uses speed (magnitude of velocity), which removes directional information; quantities formed by multiplying a scalar mass with a vector velocity (like momentum) remain vectors.",A,1,Single Correct,Scalar vs vector quantities,Concept identification,JEE Main,AI Generated,"scalars,vectors,kinetic energy,momentum,fundamentals",45,4,-1,Understand,Low,High,False,,,,Draft,1.0,False,,,False,False,False,English,,,P1_CH1_ST4_S1_Q703,Physics,P1,CH1,ST4,S1
,,,,Foundation,MCQ,"The position of a particle moving along the x-axis is given by x(t) = 5t + 2, where x is in metres and t in seconds. Which of the following is true?",Its speed is 5 m/s.,Its acceleration is 5 m/s^2.,Its speed is 2 m/s.,Its velocity is zero.,"The velocity v = dx/dt = 5 m/s, so the speed is 5 m/s; acceleration dv/dt = 0.","For one-dimensional motion, velocity is the time derivative of position. Given x(t) = 5t + 2, differentiate with respect to t: v(t) = dx/dt = 5 (m/s), a(t) = dv/dt = 0 (m/s^2). Therefore the particle moves with constant velocity 5 m/s and zero acceleration. Option A correctly states the speed. Option B confuses velocity with acceleration (derivative of velocity is zero, not 5). Option C mistakes the constant term 2 (which is the initial position) for speed. Option D is incorrect because the velocity is non-zero (5 m/s).",The constant term +2 shifts the position but does not affect velocity. A linear position-time graph x(t)=vt + x0 has slope v equal to velocity; slope here is 5.,A,1,Single Correct,"Kinematics: relation between position, velocity and acceleration (derivative concept).",Direct application of definition (differentiate position to get velocity).,JEE Main + Advanced,AI Generated,"kinematics,position-velocity,derivative,one-dimensional motion",45,4,-1,Understand,High,High,No,,,,Draft,1.0,False,,,No,No,No,English,,,P1_CH1_ST4_S1_Q704,Physics,P1,CH1,ST4,S1
,,,,Foundation,MCQ,A particle moves with constant velocity 5 m/s east for 8 s. What is the displacement of the particle?,40 m east,13 m east,40 m west,40 km east,"Displacement = velocity × time = 5 m/s × 8 s = 40 m, direction east.","Displacement for motion with constant velocity is given by s = v × t. Here v = 5 m/s (east) and t = 8 s, so s = 5 × 8 = 40 m toward the east. Option A states this result with the correct magnitude and direction. Option B (13 m east) comes from an arithmetic error (5 + 8 = 13) and is incorrect. Option C (40 m west) has the correct magnitude but opposite direction — a sign/direction error. Option D (40 km east) incorrectly changes units (mixing m/s with km), producing a value three orders of magnitude too large. Therefore only option A is correct.","Displacement is a vector; it requires both magnitude and direction. When velocity is constant, displacement is the product of that velocity and the elapsed time. Always keep units consistent (m and s) so the result is in metres. Simple checks: (1) magnitude = 5×8 = 40, (2) direction = east.",A,1,Single Correct,Relation between constant velocity and displacement (s = v t); vector nature of displacement,Direct application,JEE Main + Advanced,AI Generated,"kinematics,displacement,velocity,units",30,4,-1,Understand,,High,False,,,,Draft,1.0,False,,,False,False,False,English,,,P1_CH1_ST4_S1_Q705,Physics,P1,CH1,ST4,S1
,,,,Foundation,MCQ,An object moves 5 m east and then 3 m west. What is the object's displacement?,8 m east,2 m east,2 m west,5 m east,Displacement = 5 m east − 3 m west = 2 m east (net change in position).,"Displacement is a vector equal to the net change in position. Taking east as positive, the first move is +5 m and the second is −3 m. Net displacement = +5 + (−3) = +2 m, i.e. 2 m east. Option A (8 m east) is the total path length (distance) rather than displacement. Option C (2 m west) has the wrong direction (sign error). Option D (5 m east) ignores the second move.",Key distinction: distance is scalar and sums path lengths (5 + 3 = 8 m). Displacement is vector and depends on direction; opposite-direction segments subtract. Using a sign convention (east positive) makes calculation straightforward: +5 + (−3) = +2 m.,B,1,Single Correct,Displacement versus distance; vectors and scalars,Single concept numerical,JEE Main + Advanced,AI Generated,"vectors,displacement,distance,scalars,kinematics",60,4,-1,Understanding,Low,Foundational concept for kinematics,,,,,Draft,1.0,False,,,False,False,False,English,,,P1_CH1_ST4_S1_Q706,Physics,P1,CH1,ST4,S1
,,,,Foundation,MCQ,A book of mass 2.0 kg lies at rest on a horizontal table. Take g = 9.8 m/s^2. What is the magnitude of the normal force exerted by the table on the book?,19.6 N,9.8 N,0 N,39.2 N,"The book is in vertical equilibrium, so the normal force equals its weight: N = mg = 2.0 × 9.8 = 19.6 N.","Draw the free-body diagram: the book experiences its weight mg = 2.0×9.8 = 19.6 N downward and the normal reaction N upward. Since the book is at rest with no vertical acceleration, the net vertical force is zero, so N − mg = 0 ⇒ N = mg = 19.6 N. Option B (9.8 N) is half the correct value and corresponds to confusing mass (2.0 kg) or using g incorrectly. Option C (0 N) would occur only if the book were in free fall or there were no contact with the table. Option D (39.2 N) is twice the correct value and could arise from doubling mg by mistake. Thus A is the only correct choice.","In general, for an object at rest on a horizontal surface with no additional vertical forces, the normal reaction equals the object's weight. If additional vertical forces (for example, someone pushing down or lifting) or vertical acceleration are present, N will differ from mg and must be found from Newton's second law: N + (other upward forces) − mg = m·a_vertical.",A,1,Single Correct,Forces and equilibrium: normal reaction equals weight for an object at rest on a horizontal surface,Single-step conceptual application,JEE Main + Advanced,AI Generated,"mechanics,forces,normal reaction,equilibrium,weight",45,4,-1,Understand,Low,Core,,,,,Draft,1.0,False,,,False,False,False,English,,,P1_CH1_ST4_S1_Q707,Physics,P1,CH1,ST4,S1
,,,,Foundation,MCQ,Which of the following physical quantities is a scalar?,Displacement,Speed,Velocity,Acceleration,Speed is a scalar quantity; it has magnitude only and no direction.,"A scalar quantity is defined by magnitude only, while a vector quantity has both magnitude and direction. Speed is the rate of change of distance and specifies how fast an object moves without reference to direction, so it is a scalar. Displacement is a vector because it specifies change in position with direction. Velocity is a vector because it is the rate of change of displacement and includes direction. Acceleration is a vector because it describes the rate of change of velocity, which includes direction.","Common examples of scalars: mass, temperature, time, speed. Common examples of vectors: displacement, velocity, acceleration, force. Units do not determine whether a quantity is scalar or vector; the distinction depends on whether direction is part of the quantity's definition.",B,1,Single Correct,Scalar versus vector quantities,Single-concept identification,JEE Main + Advanced,AI Generated,"scalars,vectors,kinematics,basic_concepts",45,4,-1,Remembering,,Fundamental,No,,,,Draft,1.0,False,,,False,False,False,English,,,P1_CH1_ST4_S1_Q708,Physics,P1,CH1,ST4,S1
,,,,Foundation,MCQ,A person walks 4 m due east and then 3 m due west. What is the magnitude of the person's displacement from the starting point?,1 m,7 m,4 m,3 m,Net displacement = 4 m (east) − 3 m (west) = 1 m (east). Magnitude = 1 m.,"Displacement is a vector quantity that depends on the net change in position. Taking east as positive, the first leg is +4 m and the second is −3 m, so the net displacement is +1 m (east). The magnitude of this displacement is 1 m. Option B (7 m) is the total distance traveled (4 + 3) not the displacement. Options C (4 m) and D (3 m) are the lengths of individual legs, not the net displacement.",Distance is scalar and sums path lengths (4 m + 3 m = 7 m). Displacement depends on direction: opposite directions partially cancel. Here the cancellation leaves 1 m toward the east. This illustrates the difference between distance and displacement and the vector nature of displacement.,A,1,Single Correct,Displacement vs distance; vector basic arithmetic,Single Concept,JEE Main + Advanced,AI Generated,"kinematics,displacement,distance,vectors,foundation",45,4,-1,Remember,Low,High,No,,,,Draft,1.0,False,,,No,No,No,English,,,P1_CH1_ST4_S1_Q709,Physics,P1,CH1,ST4,S1
,,,,Foundation,MCQ,A particle moves along a straight line with constant speed. Which of the following quantities is always zero?,Acceleration,Displacement,Velocity,Distance travelled,Acceleration is zero because the velocity (magnitude and direction) does not change for motion with constant speed along a straight line.,"Acceleration is the rate of change of velocity. For motion in a straight line with constant speed, both the magnitude of velocity (speed) and its direction remain constant, so the velocity does not change with time; hence acceleration is zero. The other options are not necessarily zero: displacement can be nonzero after any nonzero time interval, velocity can be nonzero (it equals the constant speed with a sign), and distance travelled is typically nonzero when the particle moves.","If velocity v is constant (both magnitude and direction), dv/dt = 0 by definition, so acceleration a = 0. Constant speed forbids changes in direction (on a straight line) without changing speed, so there is no centripetal or tangential acceleration present. Displacement and distance depend on how long the particle has been moving and are generally nonzero.",A,1,Single Correct,"Kinematics — relation between constant speed, velocity and acceleration",Direct concept check,JEE Main + Advanced,AI Generated,"kinematics,uniform motion,acceleration,velocity,conceptual",30,4,-1,Understand,Low,Basic concept; introductory,False,,,,Draft,1.0,False,,,False,False,False,English,,,P1_CH1_ST4_S1_Q710,Physics,P1,CH1,ST4,S1
