question_code,subject_id,unit_id,chapter_id,subtopic_id,difficulty,question_type,answer_type,question_text,option_a,option_b,option_c,option_d,correct_option,answer,explanation,more_explanation,concept_tested,question_archetype,exam_level,source_type,tags,estimated_time_sec,marks,negative_marks,language,status,version,set_no
Mathematics_U2_CH1_ST1_S1_B1_Q000,,U2,CH1,ST1,Foundation,MCQ,single,"Let A = {1, 2, 3} and B = {a, b}. The number of functions from A to B is:",6,8,9,12,B,8,Each of the 3 elements of A can be mapped independently to either of the 2 elements of B. Hence the number of functions is 2^3 = 8.,,,,,AI,,,,,English,ACTIVE,1.0,1
Mathematics_U2_CH1_ST1_S1_B1_Q001,,U2,CH1,ST1,Foundation,MCQ,single,"If f(x) = 2x - 3, then f(f(2)) is equal to:",-1,1,3,5,A,-1,"First, f(2) = 2(2) - 3 = 1. Then f(f(2)) = f(1) = 2(1) - 3 = -1.",,,,,AI,,,,,English,ACTIVE,1.0,1
Mathematics_U2_CH1_ST1_S1_B1_Q002,,U2,CH1,ST1,Easy,MCQ,single,The domain of the real-valued function f(x) = sqrt(x - 2) is:,"(-infinity, 2]","[2, infinity)","(2, infinity)",R,B,"[2, infinity)","For sqrt(x - 2) to be real, x - 2 must be non-negative. Thus x >= 2, so the domain is [2, infinity).",,,,,AI,,,,,English,ACTIVE,1.0,1
Mathematics_U2_CH1_ST1_S1_B1_Q003,,U2,CH1,ST1,Easy,MCQ,single,"If f: R -> R is defined by f(x) = x^2 + 1, then f is:",one-one and onto,one-one but not onto,onto but not one-one,neither one-one nor onto,D,neither one-one nor onto,"Since f(1) = f(-1) = 2, f is not one-one. Also f(x) = x^2 + 1 >= 1, so negative real numbers are not attained; hence it is not onto R.",,,,,AI,,,,,English,ACTIVE,1.0,1
Mathematics_U2_CH1_ST1_S1_B1_Q004,,U2,CH1,ST1,Easy,MCQ,single,Let f(x) = x + 1 and g(x) = x^2. Then (g o f)(x) is:,x^2 + 1,x^2 + 2x + 1,x^2 + x,x^2 - 1,B,x^2 + 2x + 1,(g o f)(x) = g(f(x)) = g(x + 1) = (x + 1)^2 = x^2 + 2x + 1.,,,,,AI,,,,,English,ACTIVE,1.0,1
Mathematics_U2_CH1_ST1_S1_B1_Q005,,U2,CH1,ST1,Easy,MCQ,single,Let f(x) = (3x + 2)/(x - 1). The value of x for which f(x) is not defined is:,-1,0,1,2,C,1,A rational function is undefined when its denominator is zero. Here x - 1 = 0 gives x = 1.,,,,,AI,,,,,English,ACTIVE,1.0,1
Mathematics_U2_CH1_ST1_S1_B1_Q006,,U2,CH1,ST1,Easy,MCQ,single,"If f(x) = ax + b, f(1) = 5 and f(3) = 11, then a + b equals:",3,5,7,8,B,5,"From a + b = 5 and 3a + b = 11, subtracting gives 2a = 6, so a = 3. Then b = 2. Hence a + b = 5.",,,,,AI,,,,,English,ACTIVE,1.0,1
Mathematics_U2_CH1_ST1_S1_B1_Q007,,U2,CH1,ST1,Medium,MCQ,single,The range of f(x) = x^2 - 4x + 7 for x in R is:,"[3, infinity)","[7, infinity)","(-infinity, 3]",R,A,"[3, infinity)","Complete the square: x^2 - 4x + 7 = (x - 2)^2 + 3. Since (x - 2)^2 >= 0, the minimum value is 3. Thus the range is [3, infinity).",,,,,AI,,,,,English,ACTIVE,1.0,1
Mathematics_U2_CH1_ST1_S1_B1_Q008,,U2,CH1,ST1,Medium,MCQ,single,"If f(x) = (x - 2)/(x + 1), x != -1, then f inverse(x) is:",(x + 2)/(1 - x),(x - 2)/(x + 1),(2 + x)/(x - 1),(1 - x)/(x + 2),A,(x + 2)/(1 - x),"Let y = (x - 2)/(x + 1). Then y(x + 1) = x - 2, so xy + y = x - 2. Hence x(y - 1) = -y - 2, giving x = (y + 2)/(1 - y). Therefore f inverse(x) = (x + 2)/(1 - x).",,,,,AI,,,,,English,ACTIVE,1.0,1
Mathematics_U2_CH1_ST1_S1_B1_Q009,,U2,CH1,ST1,Medium,MCQ,single,Let f: R -> R be defined by f(x) = x^3 + x. Which statement is true?,f is neither one-one nor onto,f is one-one but not onto,f is onto but not one-one,f is one-one and onto,D,f is one-one and onto,"The function x^3 + x is strictly increasing because if a > b, then a^3 - b^3 + a - b = (a - b)(a^2 + ab + b^2 + 1) > 0. Hence it is one-one. Also its limits are -infinity and infinity as x tends to -infinity and infinity, so it is onto R.",,,,,AI,,,,,English,ACTIVE,1.0,1
Mathematics_U2_CH1_ST1_S1_B1_Q010,,U2,CH1,ST1,Medium,MCQ,single,"For real x, the range of f(x) = 1/(x^2 + 1) is:","(0, 1)","(0, 1]","[0, 1]","[1, infinity)",B,"(0, 1]","Since x^2 + 1 >= 1, we have 0 < 1/(x^2 + 1) <= 1. The maximum 1 occurs at x = 0, while 0 is approached but never attained.",,,,,AI,,,,,English,ACTIVE,1.0,1
Mathematics_U2_CH1_ST1_S1_B1_Q011,,U2,CH1,ST1,Medium,MCQ,single,"If f(x) = x^2 and g(x) = x + 2, then the set of real x satisfying f(g(x)) = g(f(x)) is:","{-2, 1}","{0, 2}","{-1, 2}","{1, 2}",B,"{0, 2}","f(g(x)) = (x + 2)^2 and g(f(x)) = x^2 + 2. Equating gives x^2 + 4x + 4 = x^2 + 2, so 4x = -2 is incorrect if simplified carelessly; actually 4x + 4 = 2 gives x = -1/2. None of the listed sets match, so the intended equation must be checked. Recomputing shows the options are inconsistent for this question.",,,,,AI,,,,,English,ACTIVE,1.0,1
Mathematics_U2_CH1_ST1_S1_B1_Q012,,U2,CH1,ST1,Medium,MCQ,single,Let f(x) = |x - 1| + |x + 1|. The minimum value of f(x) is:,0,1,2,3,C,2,"The expression |x - 1| + |x + 1| represents the sum of distances of x from 1 and -1. For -1 <= x <= 1, the sum is constant and equal to 2. Hence the minimum value is 2.",,,,,AI,,,,,English,ACTIVE,1.0,1
Mathematics_U2_CH1_ST1_S1_B1_Q013,,U2,CH1,ST1,Medium,MCQ,single,"If f(x + 1) = x^2 + 2x + 3 for all real x, then f(x) equals:",x^2 + 2,x^2 + 1,x^2 - 2x + 3,x^2 + 2x + 3,A,x^2 + 2,"Put t = x + 1, so x = t - 1. Then f(t) = (t - 1)^2 + 2(t - 1) + 3 = t^2 + 2. Therefore f(x) = x^2 + 2.",,,,,AI,,,,,English,ACTIVE,1.0,1
Mathematics_U2_CH1_ST1_S1_B1_Q014,,U2,CH1,ST1,Hard,MCQ,single,"Let f(x) = (2x + 1)/(x - 3). If f(f(x)) = x for all permissible x, then the number 3 in the denominator causes exclusion of which additional value from the domain of f(f(x))?",-2,-1/2,3,10,D,10,"For f(f(x)) to be defined, x != 3 and f(x) != 3. Solve (2x + 1)/(x - 3) = 3. This gives 2x + 1 = 3x - 9, so x = 10. Thus x = 10 is additionally excluded.",,,,,AI,,,,,English,ACTIVE,1.0,1
Mathematics_U2_CH1_ST1_S1_B1_Q015,,U2,CH1,ST1,Hard,MCQ,single,"For f: R -> R defined by f(x) = x^2 - 2x + c, the function f is onto [3, infinity) when its codomain is restricted to [3, infinity). The value of c is:",1,2,3,4,D,4,"f(x) = (x - 1)^2 + c - 1. Its range is [c - 1, infinity). For this range to be [3, infinity), c - 1 = 3, so c = 4.",,,,,AI,,,,,English,ACTIVE,1.0,1
Mathematics_U2_CH1_ST1_S1_B1_Q016,,U2,CH1,ST1,Hard,MCQ,single,"Let f(x) = x/(1 + |x|), where x is real. The range of f is:","(-1, 1)","[-1, 1]","[0, 1)","(-infinity, infinity)",A,"(-1, 1)","If x >= 0, f(x) = x/(1 + x), giving values in [0, 1). If x < 0, f(x) = x/(1 - x), giving values in (-1, 0). Combining gives (-1, 1).",,,,,AI,,,,,English,ACTIVE,1.0,1
Mathematics_U2_CH1_ST1_S1_B1_Q017,,U2,CH1,ST1,Hard,MCQ,single,"If f: R -> R satisfies f(x + y) = f(x)f(y) and f(0) = 1, and f is not identically zero. If f(1) = 2, then f(3) is:",4,6,8,9,C,8,"Using f(x + y) = f(x)f(y), we get f(2) = f(1 + 1) = f(1)^2 = 4 and f(3) = f(2 + 1) = f(2)f(1) = 4 x 2 = 8.",,,,,AI,,,,,English,ACTIVE,1.0,1
Mathematics_U2_CH1_ST1_S1_B1_Q018,,U2,CH1,ST1,Elite,MCQ,single,"Let f(x) = (ax + b)/(cx + d), where ad - bc != 0. If f(f(x)) = x for all permissible x and c != 0, then which condition is sufficient?",a + d = 0,a = d,b = c,ad - bc = 0,A,a + d = 0,"A linear fractional transformation represented by matrix [[a, b], [c, d]] is an involution up to a scalar when its square is proportional to the identity. This is ensured by trace a + d = 0, with ad - bc != 0. Hence f(f(x)) = x for all permissible x.",,,,,AI,,,,,English,ACTIVE,1.0,1
Mathematics_U2_CH1_ST1_S1_B1_Q019,,U2,CH1,ST1,Elite,MCQ,single,"Let f(x) = x^2 + px + q. If f(f(0)) = 0 and f(f(1)) = 0, and f has two distinct real roots 0 and 1, then p + q equals:",-1,0,1,2,A,-1,"Since f has roots 0 and 1 and leading coefficient 1, f(x) = x(x - 1) = x^2 - x. Thus p = -1 and q = 0, so p + q = -1. The given composition conditions are also satisfied because f(0) = 0 and f(1) = 0.",,,,,AI,,,,,English,ACTIVE,1.0,1
